,column,dtype
72,APARTMENTS_MEDI,float64
73,BASEMENTAREA_MEDI,float64
74,YEARS_BEGINEXPLUATATION_MEDI,float64
75,YEARS_BUILD_MEDI,float64
76,COMMONAREA_MEDI,float64
77,ELEVATORS_MEDI,float64
78,ENTRANCES_MEDI,float64
79,FLOORSMAX_MEDI,float64
80,FLOORSMIN_MEDI,float64
81,LANDAREA_MEDI,float64
82,LIVINGAPARTMENTS_MEDI,float64
83,LIVINGAREA_MEDI,float64
84,NONLIVINGAPARTMENTS_MEDI,float64
85,NONLIVINGAREA_MEDI,float64
86,FONDKAPREMONT_MODE,object
87,HOUSETYPE_MODE,object
88,TOTALAREA_MODE,float64
89,WALLSMATERIAL_MODE,object
90,EMERGENCYSTATE_MODE,object
91,OBS_30_CNT_SOCIAL_CIRCLE,float64
92,DEF_30_CNT_SOCIAL_CIRCLE,float64
93,OBS_60_CNT_SOCIAL_CIRCLE,float64
94,DEF_60_CNT_SOCIAL_CIRCLE,float64
95,DAYS_LAST_PHONE_CHANGE,float64
96,FLAG_DOCUMENT_2,int64
97,FLAG_DOCUMENT_3,int64
98,FLAG_DOCUMENT_4,int64
99,FLAG_DOCUMENT_5,int64
100,FLAG_DOCUMENT_6,int64
101,FLAG_DOCUMENT_7,int64
102,FLAG_DOCUMENT_8,int64
103,FLAG_DOCUMENT_9,int64
104,FLAG_DOCUMENT_10,int64
105,FLAG_DOCUMENT_11,int64
106,FLAG_DOCUMENT_12,int64
107,FLAG_DOCUMENT_13,int64
108,FLAG_DOCUMENT_14,int64
109,FLAG_DOCUMENT_15,int64
110,FLAG_DOCUMENT_16,int64
111,FLAG_DOCUMENT_17,int64
112,FLAG_DOCUMENT_18,int64
113,FLAG_DOCUMENT_19,int64
114,FLAG_DOCUMENT_20,int64
115,FLAG_DOCUMENT_21,int64
116,AMT_REQ_CREDIT_BUREAU_HOUR,float64
117,AMT_REQ_CREDIT_BUREAU_DAY,float64
118,AMT_REQ_CREDIT_BUREAU_WEEK,float64
119,AMT_REQ_CREDIT_BUREAU_MON,float64
120,AMT_REQ_CREDIT_BUREAU_QRT,float64
121,AMT_REQ_CREDIT_BUREAU_YEAR,float64
122,NUM_CREDIT_ACTIVE,float64
123,NUM_CREDIT_ALL,float64
124,EARLIEST_CL_ACTIVE,float64
125,EARLIEST_CL_ALL,float64
126,LATEST_CL_ACTIVE,float64
127,LATEST_CL_ALL,float64
128,MEAN_CL_ACTIVE,float64
129,MEAN_CL_ALL,float64
130,MAX_DPD_ACTIVE,float64
131,MAX_DPD_ALL,float64
132,MAX_OVERDUE_MICRO_ACTIVE,float64
133,MAX_OVERDUE_MORT_ACTIVE,float64
134,MAX_OVERDUE_CARL_ACTIVE,float64
135,MAX_OVERDUE_CC_ACTIVE,float64
136,MAX_OVERDUE_CONSUMER_ACTIVE,float64
137,MAX_OVERDUE_OTHERS_ACTIVE,float64
138,MAX_OVERDUE_MICRO,float64
139,MAX_OVERDUE_MORT,float64
140,MAX_OVERDUE_CARL,float64
141,MAX_OVERDUE_CC,float64
142,MAX_OVERDUE_CONSUMER,float64
143,MAX_OVERDUE_OTHERS,float64
144,CREDIT_MICRO_ACTIVE,float64
145,CREDIT_MORT_ACTIVE,float64
146,CREDIT_CARL_ACTIVE,float64
147,CREDIT_CC_ACTIVE,float64
148,CREDIT_CONSUMER_ACTIVE,float64
149,CREDIT_OTHERS_ACTIVE,float64
150,CREDIT_MICRO,float64
151,CREDIT_MORT,float64
152,CREDIT_CARL,float64
153,CREDIT_CC,float64
154,CREDIT_CONSUMER,float64
155,CREDIT_OTHERS,float64
156,OVERDUE_MICRO_CURR,float64
157,OVERDUE_MORT_CURR,float64
158,OVERDUE_CARL_CURR,float64
159,OVERDUE_CC_CURR,float64
160,OVERDUE_CONSUMER_CURR,float64
161,OVERDUE_OTHERS_CURR,float64
162,MAX_DPD_3M,float64
163,MAX_DPD_6M,float64
164,MAX_DPD_9M,float64
165,MAX_DPD_12M,float64
166,MAX_DPD_24M,float64
167,MAX_DPD_ALLTIME,float64
168,MAX_AMANN_CASH_APPROVED,float64
169,MEAN_AMANN_CASH_APPROVED,float64
170,MAX_AMANN_CONSUMER_APPROVED,float64
171,MEAN_AMANN_CONSUMER_APPROVED,float64
172,MAX_AMANN_REVOLVE_APPROVED,float64
173,MEAN_AMANN_REVOLVE_APPROVED,float64
174,MAX_AMANN_CASH_ALL,float64
175,MEAN_AMANN_CASH_ALL,float64
176,MAX_AMANN_CONSUMER_ALL,float64
177,MEAN_AMANN_CONSUMER_ALL,float64
178,MAX_AMANN_REVOLVE_ALL,float64
179,MEAN_AMANN_REVOLVE_ALL,float64
180,MAX_AMCRED_CASH_APPROVED,float64
181,MEAN_AMCRED_CASH_APPROVED,float64
182,MAX_AMCRED_CONSUMER_APPROVED,float64
183,MEAN_AMCRED_CONSUMER_APPROVED,float64
184,MAX_AMCRED_REVOLVE_APPROVED,float64
185,MEAN_AMCRED_REVOLVE_APPROVED,float64
186,MAX_AMCRED_CASH_ALL,float64
187,MEAN_AMCRED_CASH_ALL,float64
188,MAX_AMCRED_CONSUMER_ALL,float64
189,MEAN_AMCRED_CONSUMER_ALL,float64
190,MAX_AMCRED_REVOLVE_ALL,float64
191,MEAN_AMCRED_REVOLVE_ALL,float64
192,MAX_DIFF_APP_CREDIT,float64
193,MEAN_DIFF_APP_CREDIT,float64
194,MAX_AMDOWN_CASH_APPROVED,float64
195,MEAN_AMDOWN_CASH_APPROVED,float64
196,MAX_AMDOWN_CONSUMER_APPROVED,float64
197,MEAN_AMDOWN_CONSUMER_APPROVED,float64
198,MAX_AMDOWN_REVOLVE_APPROVED,float64
199,MEAN_AMDOWN_REVOLVE_APPROVED,float64
200,MAX_AMDOWN_CASH_ALL,float64
201,MEAN_AMDOWN_CASH_ALL,float64
202,MAX_AMDOWN_CONSUMER_ALL,float64
203,MEAN_AMDOWN_CONSUMER_ALL,float64
204,MAX_AMDOWN_REVOLVE_ALL,float64
205,MEAN_AMDOWN_REVOLVE_ALL,float64
206,EARLIEST_CR_LINE_CASH,float64
207,EARLIEST_CR_LINE_CONSUMER,float64
208,EARLIEST_CR_LINE_REVOLVE,float64
209,NUM_HIGH_YIELD,float64
210,NUM_LOW_ACTION_YIELD,float64
211,NUM_LOW_NORMAL_YIELD,float64
212,NUM_MIDDLE_YIELD,float64
213,NUM_UNK_YIELD,float64
214,NUM_INSURED,float64
215,IS_AREA_1,float64
