,count,mean,std,min,25%,50%,75%,max
EXT_SOURCE_2,306851.0,0.5143926741308464,0.19106015498493653,8.173616518884397e-08,0.3924574161782719,0.5659614260608526,0.6636170897493769,0.8549996664047012
EXT_SOURCE_3,246546.0,0.5108529061799657,0.1948443644637488,0.0005272652387098,0.3706496323299817,0.5352762504724826,0.6690566947824041,0.8960095494948396
APARTMENTS_AVG,151450.0,0.11744049917464508,0.10824029130032231,0.0,0.0577,0.0876,0.1485,1.0
BASEMENTAREA_AVG,127568.0,0.08844221905179983,0.08243815873568511,0.0,0.0442,0.0763,0.1122,1.0
YEARS_BEGINEXPLUATATION_AVG,157504.0,0.9777348581623325,0.05922331435836282,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BUILD_AVG,103023.0,0.7524714325927221,0.11327992663224716,0.0,0.6872,0.7552,0.8232,1.0
COMMONAREA_AVG,92646.0,0.044620715411350736,0.07603574505040936,0.0,0.0078,0.0211,0.0515,1.0
ELEVATORS_AVG,143620.0,0.07894151232418883,0.13457600110034418,0.0,0.0,0.0,0.12,1.0
ENTRANCES_AVG,152683.0,0.1497246700680495,0.10004912076035907,0.0,0.069,0.1379,0.2069,1.0
FLOORSMAX_AVG,154491.0,0.22628190703665582,0.144640699548004,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMIN_AVG,98869.0,0.2318935004905481,0.1613802888001374,0.0,0.0833,0.2083,0.375,1.0
LANDAREA_AVG,124921.0,0.06633318417239695,0.08118364070179358,0.0,0.0187,0.0481,0.0856,1.0
LIVINGAPARTMENTS_AVG,97312.0,0.10077477495067412,0.0925761339604974,0.0,0.0504,0.0756,0.121,1.0
LIVINGAREA_AVG,153161.0,0.10739901933259771,0.11056452318371336,0.0,0.0453,0.0745,0.1299,1.0
NONLIVINGAPARTMENTS_AVG,93997.0,0.008808672617211188,0.04773166205034794,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAREA_AVG,137829.0,0.02835775707579682,0.06952318332123605,0.0,0.0,0.0036,0.0277,1.0
APARTMENTS_MODE,151450.0,0.11423100693298119,0.10793603908753287,0.0,0.0525,0.084,0.1439,1.0
BASEMENTAREA_MODE,127568.0,0.08754321224758561,0.08430717486924559,0.0,0.0407,0.0746,0.1124,1.0
YEARS_BEGINEXPLUATATION_MODE,157504.0,0.9770653729429093,0.06457543708048018,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BUILD_MODE,103023.0,0.7596373227337585,0.11011102734194828,0.0,0.6994,0.7648,0.8236,1.0
COMMONAREA_MODE,92646.0,0.042553137750145714,0.07444452253839155,0.0,0.0072,0.019,0.049,1.0
ELEVATORS_MODE,143620.0,0.07448973610917699,0.13225614415050652,0.0,0.0,0.0,0.1208,1.0
ENTRANCES_MODE,152683.0,0.14519265864569075,0.10097698816024665,0.0,0.069,0.1379,0.2069,1.0
FLOORSMAX_MODE,154491.0,0.2223150474784939,0.14370940659531573,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMIN_MODE,98869.0,0.22805849255074895,0.16115977149547595,0.0,0.0833,0.2083,0.375,1.0
LANDAREA_MODE,124921.0,0.06495768445657656,0.08175027780843543,0.0,0.0166,0.0458,0.0841,1.0
LIVINGAPARTMENTS_MODE,97312.0,0.10564485674942452,0.09788044657879372,0.0,0.0542,0.0771,0.1313,1.0
LIVINGAREA_MODE,153161.0,0.10597505043712172,0.11184526587783379,0.0,0.0427,0.0731,0.1252,1.0
NONLIVINGAPARTMENTS_MODE,93997.0,0.008076387544283328,0.046276266219835646,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAREA_MODE,137829.0,0.027022319685987714,0.07025385904394456,0.0,0.0,0.0011,0.0231,1.0
APARTMENTS_MEDI,151450.0,0.11784992076592933,0.10907590600115313,0.0,0.0583,0.0864,0.1489,1.0
BASEMENTAREA_MEDI,127568.0,0.08795485466574689,0.08217874951463416,0.0,0.0437,0.0758,0.1116,1.0
YEARS_BEGINEXPLUATATION_MEDI,157504.0,0.9777522640694839,0.05989731850511965,0.0,0.9767,0.9816,0.9866,1.0
YEARS_BUILD_MEDI,103023.0,0.7557462721916466,0.11206630964404388,0.0,0.6914,0.7585,0.8256,1.0
COMMONAREA_MEDI,92646.0,0.04459510178529024,0.07614426224091465,0.0,0.0079,0.0208,0.0513,1.0
ELEVATORS_MEDI,143620.0,0.07807784431137725,0.13446714769067492,0.0,0.0,0.0,0.12,1.0
ENTRANCES_MEDI,152683.0,0.14921278072869934,0.10036839449763228,0.0,0.069,0.1379,0.2069,1.0
FLOORSMAX_MEDI,154491.0,0.22589659009262678,0.14506702591935142,0.0,0.1667,0.1667,0.3333,1.0
FLOORSMIN_MEDI,98869.0,0.23162493804933804,0.16193354145715616,0.0,0.0833,0.2083,0.375,1.0
LANDAREA_MEDI,124921.0,0.06716874904939922,0.08216701028007205,0.0,0.0187,0.0487,0.0868,1.0
LIVINGAPARTMENTS_MEDI,97312.0,0.1019544732407103,0.09364233271153832,0.0,0.0513,0.0761,0.1231,1.0
LIVINGAREA_MEDI,153161.0,0.10860673604899419,0.11226025867534761,0.0,0.0457,0.0749,0.1303,1.0
NONLIVINGAPARTMENTS_MEDI,93997.0,0.008651013330212667,0.04741472790780269,0.0,0.0,0.0,0.0039,1.0
NONLIVINGAREA_MEDI,137829.0,0.02823592059726182,0.07016648150682482,0.0,0.0,0.0031,0.0266,1.0
TOTALAREA_MODE,159080.0,0.1025466626854413,0.10746232414961877,0.0,0.0412,0.0688,0.1276,1.0
OBS_30_CNT_SOCIAL_CIRCLE,306490.0,1.4222454239942575,2.400988746109008,0.0,0.0,0.0,2.0,348.0
DEF_30_CNT_SOCIAL_CIRCLE,306490.0,0.1434206662533851,0.4466984293815287,0.0,0.0,0.0,0.0,34.0
OBS_60_CNT_SOCIAL_CIRCLE,306490.0,1.4052921791901856,2.3798033519793806,0.0,0.0,0.0,2.0,344.0
DEF_60_CNT_SOCIAL_CIRCLE,306490.0,0.10004894123788705,0.3622908039755737,0.0,0.0,0.0,0.0,24.0
DAYS_LAST_PHONE_CHANGE,307510.0,-962.8587883320868,826.8084870406566,-4292.0,-1570.0,-757.0,-274.0,0.0
FLAG_DOCUMENT_2,307511.0,4.2274910491006824e-05,0.006501789045489792,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_3,307511.0,0.7100233812774177,0.4537519684327392,0.0,0.0,1.0,1.0,1.0
FLAG_DOCUMENT_4,307511.0,8.129790479039775e-05,0.00901618321655089,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_5,307511.0,0.015114906458630749,0.12201022281354128,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_6,307511.0,0.0880553866365756,0.2833758928629899,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_7,307511.0,0.00019186305530533867,0.01385015767701742,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_8,307511.0,0.08137595077899652,0.27341204894451304,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_9,307511.0,0.00389579559755586,0.062294710800393685,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_10,307511.0,2.276341334131137e-05,0.004771055354069213,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_11,307511.0,0.003912055178513939,0.06242406326684518,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_12,307511.0,6.503832383231819e-06,0.0025502570915978662,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_13,307511.0,0.003525077151711646,0.05926771807375309,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_14,307511.0,0.0029364803210291664,0.054109767376428794,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_15,307511.0,0.0012097128232811183,0.034759938827692606,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_16,307511.0,0.009928100133003373,0.09914416233784908,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_17,307511.0,0.0002666571277125046,0.016327488741596615,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_18,307511.0,0.008129790479039774,0.08979823610939557,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_19,307511.0,0.0005951006630657115,0.024387465065862264,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_20,307511.0,0.0005072989258920819,0.02251762026844613,0.0,0.0,0.0,0.0,1.0
FLAG_DOCUMENT_21,307511.0,0.0003349473677364387,0.01829853182243764,0.0,0.0,0.0,0.0,1.0
AMT_REQ_CREDIT_BUREAU_HOUR,265992.0,0.006402448193930645,0.08384912844747723,0.0,0.0,0.0,0.0,4.0
AMT_REQ_CREDIT_BUREAU_DAY,265992.0,0.0070002105326475985,0.11075740632435452,0.0,0.0,0.0,0.0,9.0
AMT_REQ_CREDIT_BUREAU_WEEK,265992.0,0.0343619356973142,0.2046848758128245,0.0,0.0,0.0,0.0,8.0
AMT_REQ_CREDIT_BUREAU_MON,265992.0,0.26739526000781977,0.9160023961526176,0.0,0.0,0.0,0.0,27.0
AMT_REQ_CREDIT_BUREAU_QRT,265992.0,0.26547414959848414,0.7940556483207578,0.0,0.0,0.0,0.0,261.0
AMT_REQ_CREDIT_BUREAU_YEAR,265992.0,1.899974435321363,1.869294998181557,0.0,0.0,1.0,3.0,25.0
SK_ID_CURR.1,263491.0,278119.9310792399,102811.63956475639,100002.0,189006.5,277991.0,367177.5,456255.0
RN,263491.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NUM_CREDIT_ACTIVE,263491.0,2.056074021503581,1.7874371374915066,0.0,1.0,2.0,3.0,32.0
NUM_CREDIT_ALL,263491.0,5.556523752234422,4.374571286009345,0.0,2.0,4.0,8.0,116.0
EARLIEST_CL_ACTIVE,217127.0,-937.8792642094259,722.2989610513455,-2922.0,-1312.0,-764.0,-366.0,0.0
EARLIEST_CL_ALL,263457.0,-1761.1305222484125,863.6454819120547,-2922.0,-2582.0,-1824.0,-1035.0,0.0
LATEST_CL_ACTIVE,217127.0,-416.84201412076806,470.86503981878377,-2922.0,-514.0,-258.0,-126.0,0.0
LATEST_CL_ALL,263457.0,-489.1085490231803,537.2132909783384,-2922.0,-620.0,-300.0,-143.0,0.0
MEAN_CL_ACTIVE,217127.0,-650.3866400770056,495.50809536055334,-2922.0,-871.0,-537.0,-294.0,0.0
MEAN_CL_ALL,263457.0,-1081.9489176601874,562.928279931912,-2922.0,-1433.0,-1049.0,-663.0,0.0
MAX_DPD_ACTIVE,217127.0,4.711228912111345,87.25228944322092,0.0,0.0,0.0,0.0,2770.0
MAX_DPD_ALL,263457.0,4.773374782222526,89.14700924789767,0.0,0.0,0.0,0.0,2792.0
MAX_OVERDUE_MICRO_ACTIVE,263451.0,0.30583178655613386,60.60884843577204,0.0,0.0,0.0,0.0,15678.0
MAX_OVERDUE_MORT_ACTIVE,262900.0,51.81994941042221,2346.9595247460024,0.0,0.0,0.0,0.0,372708.0
MAX_OVERDUE_CARL_ACTIVE,263141.0,103.62720275441683,2853.2405626988107,0.0,0.0,0.0,0.0,436231.53
MAX_OVERDUE_CC_ACTIVE,257099.0,521.8136504420477,5342.879069779829,0.0,0.0,0.0,0.0,1665490.5
MAX_OVERDUE_CONSUMER_ACTIVE,256842.0,1083.314192129792,11746.435421922133,0.0,0.0,0.0,0.0,4351414.5
MAX_OVERDUE_OTHERS_ACTIVE,263477.0,10.345699776451077,2468.2819751983943,0.0,0.0,0.0,0.0,1224474.885
MAX_OVERDUE_MICRO,263350.0,4.6558197835580035,351.5047135717312,0.0,0.0,0.0,0.0,87300.0
MAX_OVERDUE_MORT,262705.0,1031.6556984259912,294265.947496516,0.0,0.0,0.0,0.0,115987185.0
MAX_OVERDUE_CARL,262648.0,512.6029355829855,37353.38183706907,0.0,0.0,0.0,0.0,16950010.5
MAX_OVERDUE_CC,255503.0,782.5314464800805,9189.28523398021,0.0,0.0,0.0,0.0,2690127.0
MAX_OVERDUE_CONSUMER,230455.0,4744.486033737606,56180.41233242871,0.0,0.0,0.0,22.5,9231525.0
MAX_OVERDUE_OTHERS,263404.0,129.92261793670556,32576.56875015543,0.0,0.0,0.0,0.0,13975258.5
CREDIT_MICRO_ACTIVE,263451.0,396.97234629969137,20163.778041490626,0.0,0.0,0.0,0.0,4218438.915
CREDIT_MORT_ACTIVE,263369.0,328749.9065256541,2287033.157770502,0.0,0.0,0.0,0.0,125493655.5
CREDIT_CARL_ACTIVE,263199.0,48769.761153157866,500243.16891557974,0.0,0.0,0.0,0.0,35091715.5
CREDIT_CC_ACTIVE,262093.0,228010.88760113774,486914.364488084,0.0,0.0,0.0,302908.5,87300000.0
CREDIT_CONSUMER_ACTIVE,260904.0,661358.9820992779,1409040.7110327915,0.0,0.0,0.0,757717.875,83627977.5
CREDIT_OTHERS_ACTIVE,263477.0,2253.6130566045617,117177.88504570816,0.0,0.0,0.0,0.0,25028059.545
CREDIT_MICRO,263350.0,587.0161437060946,22448.885007587945,0.0,0.0,0.0,0.0,4218438.915
CREDIT_MORT,263246.0,364268.90702724835,2377018.975474721,0.0,0.0,0.0,0.0,125493655.5
CREDIT_CARL,262809.0,86019.65472107119,620207.4922919244,0.0,0.0,0.0,0.0,35406715.5
CREDIT_CC,261406.0,257804.8250760694,739915.8159952196,0.0,0.0,13500.0,346496.8275,278794786.5
CREDIT_CONSUMER,251380.0,1107561.0671214499,2909026.733518195,0.0,100582.065,427911.75,1354616.55,1017694856.385
CREDIT_OTHERS,263433.0,3348.2270267961867,141555.48698895736,0.0,0.0,0.0,0.0,27000000.0
OVERDUE_MICRO_CURR,263491.0,1.0483906471188769,236.4257942628424,0.0,0.0,0.0,0.0,94315.5
OVERDUE_MORT_CURR,263491.0,2.1149526928813507,419.58993197912525,0.0,0.0,0.0,0.0,150439.5
OVERDUE_CARL_CURR,263491.0,10.252195862477276,3315.287869376956,0.0,0.0,0.0,0.0,1617403.5
OVERDUE_CC_CURR,263491.0,63.330859498047374,8534.746460291546,0.0,0.0,0.0,0.0,3681063.0
OVERDUE_CONSUMER_CURR,263491.0,141.45341988910437,12906.336302418633,0.0,0.0,0.0,0.0,3756681.0
OVERDUE_OTHERS_CURR,263491.0,4.830286859892747,2386.709307354979,0.0,0.0,0.0,0.0,1224474.885
MAX_DPD_3M,59799.0,0.1819930099165538,0.6454782696677198,0.0,0.0,0.0,0.0,5.0
MAX_DPD_6M,65709.0,0.22899450607983685,0.6829026242458535,0.0,0.0,0.0,0.0,5.0
MAX_DPD_9M,69633.0,0.26299312107764994,0.7110643165587888,0.0,0.0,0.0,0.0,5.0
MAX_DPD_12M,72634.0,0.2889280502244128,0.7340852599409057,0.0,0.0,0.0,0.0,5.0
MAX_DPD_24M,80220.0,0.356158065320369,0.7935623368454827,0.0,0.0,0.0,1.0,5.0
MAX_DPD_ALLTIME,89856.0,0.5079237891737892,0.9560153604104362,0.0,0.0,0.0,1.0,5.0
SK_ID_CURR.2,291057.0,278217.7604867775,102836.70161009202,100002.0,189156.0,278311.0,367278.0,456255.0
RN.1,291057.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MAX_AMANN_CASH_APPROVED,291057.0,13987.997647986478,20253.144060370578,0.0,0.0,0.0,23955.525,298557.585
MEAN_AMANN_CASH_APPROVED,291057.0,3970.686830104431,6839.559514426338,0.0,0.0,0.0,5854.606875,173313.855
MAX_AMANN_CONSUMER_APPROVED,291055.0,11410.69224546907,9582.202496362928,0.0,5672.52,9548.685,14709.51,393868.665
MEAN_AMANN_CONSUMER_APPROVED,291055.0,5522.00076113562,6166.7691231935705,0.0,1751.643,3936.969,7288.875,290358.0
MAX_AMANN_REVOLVE_APPROVED,291057.0,3185.404508395263,7668.867971248066,0.0,0.0,0.0,2250.0,67500.0
MEAN_AMANN_REVOLVE_APPROVED,291057.0,635.0387068341364,1795.5056964990276,0.0,0.0,0.0,321.42857142857144,67500.0
MAX_AMANN_CASH_ALL,290846.0,16587.528800206983,21966.851669621643,0.0,0.0,7842.915,27782.955,418058.145
MEAN_AMANN_CASH_ALL,290846.0,6503.473622863578,9612.668191584391,0.0,0.0,1852.440625,10337.26528125,173313.855
MAX_AMANN_CONSUMER_ALL,290886.0,11777.730689187518,9907.086955709165,0.0,5880.285,9845.392500000002,15086.733750000001,393868.665
MEAN_AMANN_CONSUMER_ALL,290886.0,6017.765552733378,6428.443729975175,0.0,2020.8225,4455.1575,7998.012,290358.0
MAX_AMANN_REVOLVE_ALL,291046.0,4080.72411233963,8584.57553635722,0.0,0.0,0.0,4500.0,225000.0
MEAN_AMANN_REVOLVE_ALL,291046.0,894.8108586139736,2213.856180489615,0.0,0.0,0.0,750.0,67500.0
MAX_AMCRED_CASH_APPROVED,291057.0,255628.4041400138,408249.1798487364,0.0,0.0,0.0,375583.5,4050000.0
MEAN_AMCRED_CASH_APPROVED,291057.0,66500.41063435802,126213.31827609941,0.0,0.0,0.0,88825.5,4050000.0
MAX_AMCRED_CONSUMER_APPROVED,291057.0,108157.91831167092,106057.89411948598,0.0,42957.0,86337.45,140665.5,4509688.5
MEAN_AMCRED_CONSUMER_APPROVED,291057.0,50689.33009484471,64852.39116446217,0.0,14034.6,33017.4,64777.5,2743528.5
MAX_AMCRED_REVOLVE_APPROVED,291057.0,63395.11848194683,153034.70771533196,0.0,0.0,0.0,45000.0,1350000.0
MEAN_AMCRED_REVOLVE_APPROVED,291057.0,12638.036119225282,35816.63193352631,0.0,0.0,0.0,6428.571428571428,1350000.0
MAX_AMCRED_CASH_ALL,291057.0,329826.19306414213,490066.7623070477,0.0,0.0,71955.0,508495.5,4104351.0
MEAN_AMCRED_CASH_ALL,291057.0,97241.8801853429,164531.44618728646,0.0,0.0,16875.0,137820.0,4050000.0
MAX_AMCRED_CONSUMER_ALL,291057.0,114104.09134762263,115909.25158475111,0.0,46705.5,90765.0,145107.0,4509688.5
MEAN_AMCRED_CONSUMER_ALL,291057.0,55934.4239931851,68787.45591272697,0.0,16817.785714285714,38034.0,71982.0,2743528.5
MAX_AMCRED_REVOLVE_ALL,291057.0,82594.31142353559,173384.76997407022,0.0,0.0,0.0,90000.0,2250000.0
MEAN_AMCRED_REVOLVE_ALL,291057.0,16893.65158545188,40871.42556685718,0.0,0.0,0.0,15000.0,1350000.0
MAX_DIFF_APP_CREDIT,291057.0,7457.478823014048,34297.19652305257,-1350000.0,0.0,1930.5,9265.5,3020449.5
MEAN_DIFF_APP_CREDIT,291057.0,-16064.464532053258,37173.41654044036,-1350000.0,-22164.75,-5102.1,294.75,1980000.0
MAX_AMDOWN_CASH_APPROVED,286942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAN_AMDOWN_CASH_APPROVED,286942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAX_AMDOWN_CONSUMER_APPROVED,291054.0,10319.295244748397,25214.730393133428,0.0,0.0,4563.0,12716.1,3060045.0
MEAN_AMDOWN_CONSUMER_APPROVED,291054.0,3985.242408718248,11307.713678728673,-0.1125,0.0,1269.0,4353.6875,1012500.0
MAX_AMDOWN_REVOLVE_APPROVED,289895.0,17.661986581348422,725.7227046850011,0.0,0.0,0.0,0.0,135000.0
MEAN_AMDOWN_REVOLVE_APPROVED,289895.0,6.017833906105998,313.74147315128585,0.0,0.0,0.0,0.0,81003.15
MAX_AMDOWN_CASH_ALL,282163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAN_AMDOWN_CASH_ALL,282163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAX_AMDOWN_CONSUMER_ALL,291048.0,10969.704868836068,27867.920864937536,0.0,0.0,4968.0,13491.0,3060045.0
MEAN_AMDOWN_CONSUMER_ALL,291048.0,4312.6915804181,12760.196838490541,-0.1125,0.0,1461.2435064935066,4566.796875,1980000.0
MAX_AMDOWN_REVOLVE_ALL,289600.0,21.370919854972374,788.6470747060986,0.0,0.0,0.0,0.0,135000.0
MEAN_AMDOWN_REVOLVE_ALL,289600.0,7.040718678225718,345.50653121994,0.0,0.0,0.0,0.0,81003.15
EARLIEST_CR_LINE_CASH,291057.0,-479.05465252510675,652.8804162478729,-2922.0,-748.0,-211.0,0.0,0.0
EARLIEST_CR_LINE_CONSUMER,291057.0,-1414.6089116564797,913.025378378096,-2922.0,-2288.0,-1388.0,-588.0,0.0
EARLIEST_CR_LINE_REVOLVE,291057.0,-298.94474965384785,629.6171456621304,-2922.0,-300.0,0.0,0.0,0.0
NUM_HIGH_YIELD,291057.0,1.051550040026524,1.404291543699004,0.0,0.0,1.0,2.0,38.0
NUM_LOW_ACTION_YIELD,291057.0,0.27000553156254614,0.6849832565632107,0.0,0.0,0.0,0.0,23.0
NUM_LOW_NORMAL_YIELD,291057.0,0.9444335645595193,1.3034439999188423,0.0,0.0,1.0,1.0,30.0
NUM_MIDDLE_YIELD,291057.0,1.1165201317954903,1.384207737362776,0.0,0.0,1.0,2.0,52.0
NUM_UNK_YIELD,291057.0,1.4746183737206113,2.1536104210746108,0.0,0.0,1.0,2.0,62.0
NUM_INSURED,291057.0,0.9683464063740093,1.3153344727369354,0.0,0.0,1.0,1.0,23.0
IS_AREA_1,291057.0,2.187142037470324,3.3244830814613544,0.0,0.0,1.0,3.0,68.0
